id;data_inversa;dia_semana;horario;uf;municipio;ITEM;GRUPO_ITEM;Primeira_Doação;idade;sexo;QTD;TIPO_ONG;ID_ONG
573039;06/01/2025;sábado;21:20:00;SP;CAJATI;Fralda;Higiene;Não;71;Masculino;35;ONG;3,64319E+12
573160;07/01/2025;domingo;12:00:00;SP;MIRACATU;Fralda;Higiene;Não;42;Masculino;40;ONG;6,16012E+13
573160;07/01/2025;domingo;12:00:00;SP;MIRACATU;Fralda;Higiene;Não;55;Masculino;25;ONG;6,16012E+13
573160;07/01/2025;domingo;12:00:00;SP;MIRACATU;Fralda;Higiene;Não;17;Feminino;49;ONG;6,16012E+13
573160;07/01/2025;domingo;12:00:00;SP;MIRACATU;Fralda;Higiene;Não;40;Masculino;12;ONG;6,16012E+13
573449;08/01/2025;segunda-feira;20:15:00;SP;APARECIDA;Sabonete;Higiene;Sim;63;Masculino;34;ONG;4,39986E+13
573519;09/01/2025;terça-feira;07:20:00;SP;PINDAMONHANGABA;Escova de Dentes Adulto;Objetos;Não;38;Masculino;8;ONG;1,68046E+12
573559;09/01/2025;terça-feira;11:00:00;SP;BRAGANCA PAULISTA;Cobertos;Itens de Casa;Não;52;Masculino;33;ONG;5,15227E+13
573559;09/01/2025;terça-feira;11:00:00;SP;BRAGANCA PAULISTA;Cobertos;Itens de Casa;Não;18;Masculino;49;ONG;5,15227E+13
573618;09/01/2025;terça-feira;17:15:00;SP;TAUBATE;Não Pereciveis;Alimentação;Não;59;Masculino;6;ONG;5,43387E+13
573644;09/01/2025;terça-feira;19:45:00;SP;UBARANA;Lençois;Itens de Casa;Sim;38;Masculino;2;ONG;3,67174E+12
573697;10/01/2025;quarta-feira;06:00:00;SP;EMBU DAS ARTES;Camisa Manga Longa;Roupa;Não;35;Masculino;41;ONG;4,68773E+13
573730;10/01/2025;quarta-feira;09:21:00;SP;LAVRINHAS;Fralda;Higiene;Não;54;Masculino;22;ONG;4,75514E+13
573731;10/01/2025;quarta-feira;09:10:00;SP;MIRACATU;Pasta de dente;Higiene;Não;26;Masculino;12;ONG;6,16012E+13
573788;10/01/2025;quarta-feira;15:03:00;SP;CAJATI;Fralda;Higiene;Não;46;Masculino;24;ONG;3,64319E+12
573812;10/01/2025;quarta-feira;18:10:00;SP;GUARULHOS;Não Pereciveis;Alimentação;Sim;44;N/I;11;ONG;1,20784E+13
573887;11/01/2025;quinta-feira;05:45:00;SP;ITAPECERICA DA SERRA;Não Pereciveis;Alimentação;Sim;21;N/I;15;ONG;6,10041E+13
573973;11/01/2025;quinta-feira;14:20:00;SP;ARUJA;Camisa Manga Longa;Roupa;Sim;49;Masculino;38;ONG;2,69623E+13
574000;11/01/2025;quinta-feira;10:35:00;SP;LAVRINHAS;Sapatos;Sapatos;Não;47;Masculino;25;ONG;4,75514E+13
574151;12/01/2025;sexta-feira;07:00:00;SP;MIRACATU;Fralda;Higiene;Não;33;Masculino;23;ONG;6,16012E+13
574210;12/01/2025;sexta-feira;15:00:00;SP;ARUJA;Camisa Manga Longa;Roupa;Sim;39;Masculino;9;ONG;2,69623E+13
574214;12/01/2025;sexta-feira;14:40:00;SP;LORENA;Cobertos;Itens de Casa;Não;70;Masculino;22;ONG;7,44741E+12
574297;12/01/2025;sexta-feira;20:50:00;SP;JUQUIA;Papel Higiênico;Higiene;Não;34;Masculino;34;ONG;4,48813E+13
574469;13/01/2025;sábado;11:00:00;SP;GUARULHOS;Camisa Polo;Roupa;Sim;47;Masculino;4;ONG;1,20784E+13
574607;14/01/2025;domingo;06:32:00;SP;LAVRINHAS;Fralda;Higiene;Não;60;Masculino;8;ONG;4,75514E+13
574639;14/01/2025;domingo;10:12:00;SP;GUARATINGUETA;Não Pereciveis;Alimentação;Não;23;Masculino;14;ONG;5,45371E+13
574639;14/01/2025;domingo;10:12:00;SP;GUARATINGUETA;Não Pereciveis;Alimentação;Não;69;Masculino;22;ONG;5,45371E+13
574823;15/01/2025;segunda-feira;06:15:00;SP;LORENA;Sapatos;Sapatos;Não;46;Masculino;27;ONG;7,44741E+12
574989;15/01/2025;segunda-feira;21:40:00;SP;SAO PAULO;Cobertos;Itens de Casa;Sim;49;Masculino;16;ONG;5,07877E+13
574989;15/01/2025;segunda-feira;21:40:00;SP;SAO PAULO;Cobertos;Itens de Casa;Sim;28;Masculino;19;ONG;5,07877E+13
574989;15/01/2025;segunda-feira;21:40:00;SP;SAO PAULO;Cobertos;Itens de Casa;Sim;3;Masculino;24;ONG;5,07877E+13
575164;16/01/2025;terça-feira;19:20:00;SP;MIRACATU;Pasta de dente;Higiene;Não;42;Masculino;23;ONG;6,16012E+13
575176;16/01/2025;terça-feira;21:30:00;SP;SAO PAULO;Camisa Manga Longa;Roupa;Sim;74;Masculino;19;ONG;5,07877E+13
575176;16/01/2025;terça-feira;21:30:00;SP;SAO PAULO;Camisa Manga Longa;Roupa;Sim;71;Masculino;24;ONG;5,07877E+13
575330;17/01/2025;quarta-feira;16:20:00;SP;SAO LOURENCO DA SERRA;Não Pereciveis;Alimentação;Não;64;Masculino;6;ONG;33766000172
575330;17/01/2025;quarta-feira;16:20:00;SP;SAO LOURENCO DA SERRA;Não Pereciveis;Alimentação;Não;70;Masculino;15;ONG;33766000172
575330;17/01/2025;quarta-feira;16:20:00;SP;SAO LOURENCO DA SERRA;Não Pereciveis;Alimentação;Não;51;Feminino;9;ONG;33766000172
575330;17/01/2025;quarta-feira;16:20:00;SP;SAO LOURENCO DA SERRA;Não Pereciveis;Alimentação;Não;35;Masculino;44;ONG;33766000172
575330;17/01/2025;quarta-feira;16:20:00;SP;SAO LOURENCO DA SERRA;Não Pereciveis;Alimentação;Não;67;Masculino;45;ONG;33766000172
575384;17/01/2025;quarta-feira;21:30:00;SP;ARUJA;Camisa Manga Longa;Roupa;Não;63;N/I;17;ONG;2,69623E+13
575405;18/01/2025;quinta-feira;04:25:00;SP;GUARULHOS;Sabonete;Higiene;Sim;16;Masculino;18;ONG;1,20784E+13
575405;18/01/2025;quinta-feira;04:25:00;SP;GUARULHOS;Sabonete;Higiene;Sim;25;Masculino;16;ONG;1,20784E+13
575537;18/01/2025;quinta-feira;10:00:00;SP;GUARULHOS;Não Pereciveis;Alimentação;Sim;62;Masculino;1;ONG;1,20784E+13
575595;18/01/2025;quinta-feira;22:25:00;SP;EMBU DAS ARTES;Camisa Manga Longa;Roupa;Sim;16;Masculino;2;ONG;4,68773E+13
575669;19/01/2025;sexta-feira;10:05:00;SP;BRAGANCA PAULISTA;Pasta de dente;Higiene;Não;68;Masculino;32;ONG;5,15227E+13
575705;19/01/2025;sexta-feira;12:00:00;SP;PINDAMONHANGABA;Camisa Manga Longa;Roupa;Não;34;Masculino;35;ONG;1,68046E+12
575768;19/01/2025;sexta-feira;12:30:00;SP;PINDAMONHANGABA;Camisa Manga Longa;Roupa;Não;34;Masculino;8;ONG;1,68046E+12
575768;19/01/2025;sexta-feira;12:30:00;SP;PINDAMONHANGABA;Camisa Manga Longa;Roupa;Não;53;Masculino;37;ONG;1,68046E+12
575768;19/01/2025;sexta-feira;12:30:00;SP;PINDAMONHANGABA;Camisa Manga Longa;Roupa;Não;24;Masculino;31;ONG;1,68046E+12
575814;19/01/2025;sexta-feira;20:10:00;SP;VARGEM;Camisa Manga Longa;Roupa;Não;33;Masculino;5;ONG;5,49372E+12
575838;19/01/2025;sexta-feira;23:10:00;SP;SAO JOSE DOS CAMPOS;Camisa Manga Longa;Roupa;Sim;32;Masculino;45;ONG;3,39156E+13
575879;20/01/2025;sábado;05:30:00;SP;ROSEIRA;Camisa Manga Longa;Roupa;Não;17;Masculino;13;ONG;8,92139E+11
575900;20/01/2025;sábado;06:10:00;SP;SAO JOSE DOS CAMPOS;Não Pereciveis;Alimentação;Sim;20;Masculino;20;ONG;3,39156E+13
575986;20/01/2025;sábado;16:30:00;SP;GUARULHOS;Lençois;Itens de Casa;Sim;3;Masculino;9;ONG;1,20784E+13
576141;21/01/2025;domingo;07:00:00;SP;CAJATI;Fralda;Higiene;Não;70;Masculino;9;ONG;3,64319E+12
576182;21/01/2025;domingo;12:00:00;SP;MIRACATU;Lençois;Itens de Casa;Não;25;Masculino;24;ONG;6,16012E+13
576182;21/01/2025;domingo;12:00:00;SP;MIRACATU;Lençois;Itens de Casa;Não;32;Masculino;3;ONG;6,16012E+13
576199;21/01/2025;domingo;13:05:00;SP;BADY BASSITT;Papel Higiênico;Higiene;Não;54;N/I;36;ONG;2,93938E+13
576351;22/01/2025;segunda-feira;07:00:00;SP;BARRA DO TURVO;Fralda;Higiene;Não;39;Masculino;35;ONG;6,02949E+12
576428;22/01/2025;segunda-feira;13:00:00;SP;CAJATI;Fralda;Higiene;Não;27;Feminino;14;ONG;3,64319E+12
576428;22/01/2025;segunda-feira;13:00:00;SP;CAJATI;Fralda;Higiene;Não;44;Masculino;3;ONG;3,64319E+12
576517;22/01/2025;segunda-feira;21:10:00;SP;MIRACATU;Não Pereciveis;Alimentação;Não;47;N/I;37;ONG;6,16012E+13
576601;23/01/2025;terça-feira;10:34:00;SP;MIRACATU;Cobertos;Itens de Casa;Não;54;Masculino;50;ONG;6,16012E+13
576601;23/01/2025;terça-feira;10:34:00;SP;MIRACATU;Cobertos;Itens de Casa;Não;35;Masculino;40;ONG;6,16012E+13
576606;23/01/2025;terça-feira;11:35:00;SP;ITAPECERICA DA SERRA;Camisa Manga Longa;Roupa;Não;50;Masculino;46;ONG;6,10041E+13
576625;23/01/2025;terça-feira;12:40:00;SP;MIRACATU;Pasta de dente;Higiene;Não;35;Masculino;36;ONG;6,16012E+13
576634;23/01/2025;terça-feira;15:10:00;SP;GUARULHOS;Não Pereciveis;Alimentação;Sim;15;Masculino;43;ONG;1,20784E+13
576690;23/01/2025;terça-feira;17:31:00;SP;ITAPECERICA DA SERRA;Camisa Manga Longa;Roupa;Sim;53;Masculino;17;ONG;6,10041E+13
576691;23/01/2025;terça-feira;17:30:00;SP;MIRACATU;Fralda;Higiene;Não;44;Masculino;10;ONG;6,16012E+13
576754;24/01/2025;quarta-feira;05:40:00;SP;CRUZEIRO;Camisa Manga Longa;Roupa;Não;31;Masculino;21;ONG;6,50588E+13
576773;24/01/2025;quarta-feira;09:50:00;SP;GUARULHOS;Cobertos;Itens de Casa;Sim;30;Masculino;18;ONG;1,20784E+13
576773;24/01/2025;quarta-feira;09:50:00;SP;GUARULHOS;Cobertos;Itens de Casa;Sim;75;Masculino;1;ONG;1,20784E+13
576773;24/01/2025;quarta-feira;09:50:00;SP;GUARULHOS;Cobertos;Itens de Casa;Sim;69;Masculino;36;ONG;1,20784E+13
576773;24/01/2025;quarta-feira;09:50:00;SP;GUARULHOS;Cobertos;Itens de Casa;Sim;15;Masculino;3;ONG;1,20784E+13
576841;24/01/2025;quarta-feira;16:05:00;SP;GUARULHOS;Camisa Manga Longa;Roupa;Sim;35;Masculino;2;ONG;1,20784E+13
576940;25/01/2025;quinta-feira;07:00:00;SP;SAO JOSE DOS CAMPOS;Fralda;Higiene;Sim;57;Masculino;22;ONG;3,39156E+13
576971;25/01/2025;quinta-feira;11:00:00;SP;GUARULHOS;Camisa Manga Longa;Roupa;Não;60;Masculino;19;ONG;1,20784E+13
576971;25/01/2025;quinta-feira;11:00:00;SP;GUARULHOS;Camisa Manga Longa;Roupa;Não;40;Masculino;32;ONG;1,20784E+13
576973;25/01/2025;quinta-feira;12:40:00;SP;BARRA DO TURVO;Papel Higiênico;Higiene;Não;64;Masculino;24;ONG;6,02949E+12
577011;25/01/2025;quinta-feira;14:35:00;SP;GUARULHOS;Não Pereciveis;Alimentação;Sim;48;Masculino;15;ONG;1,20784E+13
577288;26/01/2025;sexta-feira;19:42:00;SP;MARILIA;Camisa Manga Longa;Roupa;Não;44;Masculino;20;ONG;4,98966E+13
577299;27/01/2025;sábado;00:05:00;SP;GUARATINGUETA;Camisa Manga Longa;Roupa;Sim;69;N/I;42;ONG;5,45371E+13
577352;27/01/2025;sábado;09:40:00;SP;CACAPAVA;Não Pereciveis;Alimentação;Não;61;Masculino;13;ONG;8,37931E+12
577417;27/01/2025;sábado;14:35:00;SP;SILVEIRAS;Camisa Manga Longa;Roupa;Não;59;Masculino;44;ONG;7,443E+12
577744;29/01/2025;segunda-feira;07:00:00;SP;ITAPECERICA DA SERRA;Não Pereciveis;Alimentação;Não;26;Masculino;22;ONG;6,10041E+13
577778;29/01/2025;segunda-feira;10:00:00;SP;CAJATI;Escova de Dentes Adulto;Objetos;Não;75;Masculino;1;ONG;3,64319E+12
577893;29/01/2025;segunda-feira;15:05:00;SP;REGISTRO;Camisa Manga Longa;Roupa;Não;24;Masculino;28;ONG;3,48884E+12
577893;29/01/2025;segunda-feira;15:05:00;SP;REGISTRO;Camisa Manga Longa;Roupa;Não;73;Masculino;33;ONG;3,48884E+12
577893;29/01/2025;segunda-feira;15:05:00;SP;REGISTRO;Camisa Manga Longa;Roupa;Não;62;Masculino;11;ONG;3,48884E+12
577912;29/01/2025;segunda-feira;23:30:00;SP;BARRA DO TURVO;Escova de Dentes Adulto;Objetos;Não;44;Masculino;18;ONG;6,02949E+12
577989;30/01/2025;terça-feira;10:50:00;SP;JOSE BONIFACIO;Camisa Manga Longa;Roupa;Não;27;Masculino;12;ONG;3,4145E+13
577989;30/01/2025;terça-feira;10:50:00;SP;JOSE BONIFACIO;Camisa Manga Longa;Roupa;Não;39;Masculino;18;ONG;3,4145E+13
578081;30/01/2025;terça-feira;20:15:00;SP;MAIRIPORA;Fralda;Higiene;Não;33;Masculino;23;ONG;5,89764E+13
578106;30/01/2025;terça-feira;23:00:00;SP;ROSEIRA;Escova de Dentes Adulto;Objetos;Não;44;Masculino;7;ONG;8,92139E+11
578120;31/01/2025;quarta-feira;04:40:00;SP;SAO PAULO;Sabonete;Higiene;Sim;74;N/I;12;ONG;5,07877E+13
578138;31/01/2025;quarta-feira;07:25:00;SP;JUQUITIBA;Fralda;Higiene;Não;27;Masculino;3;ONG;4,5587E+13
578208;23/01/2025;terça-feira;12:00:00;SP;BARRA DO TURVO;Sapatos;Sapatos;Não;30;Masculino;9;ONG;6,02949E+12
578381;01/02/2025;quinta-feira;13:00:00;SP;ATIBAIA;Escova de Dentes Infantil;Higiene;Não;69;Masculino;37;ONG;4,17847E+12
578381;01/02/2025;quinta-feira;13:00:00;SP;ATIBAIA;Escova de Dentes Infantil;Higiene;Não;32;Masculino;27;ONG;4,17847E+12
578469;02/02/2025;sexta-feira;01:55:00;SP;MIRACATU;Escova de Dentes Adulto;Objetos;Não;19;Masculino;28;ONG;6,16012E+13
578534;02/02/2025;sexta-feira;10:50:00;SP;CAJATI;Pasta de dente;Higiene;Não;33;Masculino;14;ONG;3,64319E+12
578556;02/02/2025;sexta-feira;13:20:00;SP;GUARULHOS;Camisa Manga Longa;Roupa;Não;74;Masculino;42;ONG;1,20784E+13
578558;02/02/2025;sexta-feira;12:50:00;SP;JACAREI;Cobertos;Itens de Casa;Sim;30;Masculino;8;ONG;7,41645E+12
578594;02/02/2025;sexta-feira;18:00:00;SP;BARRA DO TURVO;Não Pereciveis;Alimentação;Não;50;Masculino;1;ONG;6,02949E+12
578616;02/02/2025;sexta-feira;19:30:00;SP;PARIQUERA-ACU;Pasta de dente;Higiene;Não;47;Masculino;49;ONG;2,18448E+12
578645;02/02/2025;sexta-feira;09:40:00;SP;GUARULHOS;Não Pereciveis;Alimentação;Não;61;Masculino;3;ONG;1,20784E+13
578713;03/02/2025;sábado;07:20:00;SP;MIRACATU;Não Pereciveis;Alimentação;Não;57;Masculino;8;ONG;6,16012E+13
578819;03/02/2025;sábado;19:24:00;SP;SAO JOSE DOS CAMPOS;Sabonete;Higiene;Não;61;N/I;43;ONG;3,39156E+13
578819;03/02/2025;sábado;19:24:00;SP;SAO JOSE DOS CAMPOS;Sabonete;Higiene;Não;23;Masculino;5;ONG;3,39156E+13
579174;05/02/2025;segunda-feira;12:50:00;SP;JACUPIRANGA;Sabonete;Higiene;Sim;34;Masculino;15;ONG;7,15531E+13
579495;07/02/2025;quarta-feira;01:20:00;SP;GUARATINGUETA;Camisa Manga Longa;Roupa;Sim;35;Masculino;3;ONG;5,45371E+13
579546;07/02/2025;quarta-feira;07:48:00;SP;CAJATI;Fralda;Higiene;Não;43;Masculino;1;ONG;3,64319E+12
579555;07/02/2025;quarta-feira;11:00:00;SP;EMBU DAS ARTES;Camisa Manga Longa;Roupa;Sim;41;Masculino;31;ONG;4,68773E+13
579620;07/02/2025;quarta-feira;13:55:00;SP;APARECIDA;Escova de Dentes Infantil;Higiene;Sim;54;Masculino;30;ONG;4,39986E+13
579622;07/02/2025;quarta-feira;13:00:00;SP;CAJATI;Escova de Dentes Adulto;Objetos;Não;67;Masculino;28;ONG;3,64319E+12
579622;07/02/2025;quarta-feira;13:00:00;SP;CAJATI;Escova de Dentes Adulto;Objetos;Não;56;Masculino;16;ONG;3,64319E+12
579842;08/02/2025;quinta-feira;14:30:00;SP;MIRACATU;Escova de Dentes Adulto;Objetos;Não;29;Masculino;22;ONG;6,16012E+13
579857;08/02/2025;quinta-feira;18:00:00;SP;EMBU DAS ARTES;Lençois;Itens de Casa;Sim;18;Masculino;32;ONG;4,68773E+13
579889;08/02/2025;quinta-feira;22:40:00;SP;CAJATI;Camisa Manga Longa;Roupa;Não;39;Masculino;48;ONG;3,64319E+12
579975;29/01/2025;segunda-feira;07:10:00;SP;ITAPECERICA DA SERRA;Camisa Polo;Roupa;Não;26;N/I;26;ONG;6,10041E+13
580043;09/02/2025;sexta-feira;13:40:00;SP;TAUBATE;Não Pereciveis;Alimentação;Sim;48;Masculino;41;ONG;5,43387E+13
580049;09/02/2025;sexta-feira;17:20:00;SP;GUARULHOS;Camisa Polo;Roupa;Não;62;Masculino;35;ONG;1,20784E+13
580327;10/02/2025;sábado;17:10:00;SP;MIRACATU;Escova de Dentes Adulto;Objetos;Não;47;Masculino;47;ONG;6,16012E+13
580516;11/02/2025;domingo;12:25:00;SP;ATIBAIA;Papel Higiênico;Higiene;Sim;40;Masculino;15;ONG;4,17847E+12
580688;12/02/2025;segunda-feira;06:05:00;SP;QUELUZ;Fralda;Higiene;Não;70;Masculino;21;ONG;5,56621E+13
580789;12/02/2025;segunda-feira;16:00:00;SP;PIQUETE;Escova de Dentes Adulto;Objetos;Não;53;Masculino;19;ONG;7,443E+12
580946;13/02/2025;terça-feira;14:13:00;SP;GUARULHOS;Escova de Dentes Adulto;Objetos;Não;25;Masculino;8;ONG;1,20784E+13
581091;14/02/2025;quarta-feira;10:10:00;SP;EMBU DAS ARTES;Não Pereciveis;Alimentação;Sim;17;Masculino;49;ONG;4,68773E+13
581170;14/02/2025;quarta-feira;17:50:00;SP;MAIRIPORA;Camisa Manga Longa;Roupa;Sim;24;Feminino;50;ONG;5,89764E+13
581170;14/02/2025;quarta-feira;17:50:00;SP;MAIRIPORA;Camisa Manga Longa;Roupa;Sim;46;Masculino;14;ONG;5,89764E+13
581170;14/02/2025;quarta-feira;17:50:00;SP;MAIRIPORA;Camisa Manga Longa;Roupa;Sim;21;Masculino;39;ONG;5,89764E+13
581182;14/02/2025;quarta-feira;18:30:00;SP;JUQUIA;Papel Higiênico;Higiene;Sim;61;N/I;17;ONG;4,48813E+13
581240;15/02/2025;quinta-feira;03:20:00;SP;CAJATI;Fralda;Higiene;Não;28;Masculino;29;ONG;3,64319E+12
581278;15/02/2025;quinta-feira;10:15:00;SP;SAO PAULO;Fralda;Higiene;Não;20;Masculino;3;ONG;5,07877E+13
581538;16/02/2025;sexta-feira;18:30:00;SP;ATIBAIA;Não Pereciveis;Alimentação;Não;30;N/I;32;ONG;4,17847E+12
581676;17/02/2025;sábado;14:00:00;SP;JOSE BONIFACIO;Camisa Manga Longa;Roupa;Não;60;Masculino;24;ONG;3,4145E+13
581676;17/02/2025;sábado;14:00:00;SP;JOSE BONIFACIO;Camisa Manga Longa;Roupa;Não;39;Masculino;27;ONG;3,4145E+13
581725;17/02/2025;sábado;18:20:00;SP;GUARULHOS;Camisa Manga Longa;Roupa;Sim;36;N/I;15;ONG;1,20784E+13
581787;18/02/2025;domingo;01:50:00;SP;JACAREI;Escova de Dentes Adulto;Objetos;Não;27;Masculino;35;ONG;7,41645E+12
581885;18/02/2025;domingo;14:15:00;SP;BADY BASSITT;Pasta de dente;Higiene;Não;35;Masculino;31;ONG;2,93938E+13
581886;18/02/2025;domingo;16:00:00;SP;SAO LOURENCO DA SERRA;Não Pereciveis;Alimentação;Sim;40;Masculino;40;ONG;33766000172
582014;19/02/2025;segunda-feira;10:10:00;SP;GUARULHOS;Não Pereciveis;Alimentação;Sim;61;Masculino;10;ONG;1,20784E+13
582066;19/02/2025;segunda-feira;14:00:00;SP;PINDAMONHANGABA;Papel Higiênico;Higiene;Não;63;Masculino;25;ONG;1,68046E+12
582301;20/02/2025;terça-feira;20:20:00;SP;JUQUIA;Camisa Manga Longa;Roupa;Sim;67;Masculino;43;ONG;4,48813E+13
582322;20/02/2025;terça-feira;23:11:00;SP;TAUBATE;Camisa Manga Longa;Roupa;Sim;61;Masculino;36;ONG;5,43387E+13
582489;21/02/2025;quarta-feira;20:50:00;SP;JUQUIA;Fralda;Higiene;Não;48;Masculino;23;ONG;4,48813E+13
582492;21/02/2025;quarta-feira;20:55:00;SP;GUARATINGUETA;Camisa Manga Longa;Roupa;Sim;46;Masculino;37;ONG;5,45371E+13
582528;21/02/2025;quarta-feira;13:20:00;SP;SAO JOSE DOS CAMPOS;Não Pereciveis;Alimentação;Não;47;Masculino;37;ONG;3,39156E+13
582528;21/02/2025;quarta-feira;13:20:00;SP;SAO JOSE DOS CAMPOS;Não Pereciveis;Alimentação;Não;38;Masculino;9;ONG;3,39156E+13
582529;22/02/2025;quinta-feira;06:20:00;SP;LORENA;Papel Higiênico;Higiene;Não;34;Masculino;19;ONG;7,44741E+12
582568;22/02/2025;quinta-feira;10:40:00;SP;SAO JOSE DOS CAMPOS;Toalha de Banho;Itens de Casa;Sim;24;Masculino;36;ONG;3,39156E+13
582568;22/02/2025;quinta-feira;10:40:00;SP;SAO JOSE DOS CAMPOS;Toalha de Banho;Itens de Casa;Sim;39;Masculino;45;ONG;3,39156E+13
582572;22/02/2025;quinta-feira;11:30:00;SP;MIRACATU;Camisa Manga Longa;Roupa;Não;75;Masculino;24;ONG;6,16012E+13
582577;22/02/2025;quinta-feira;09:50:00;SP;BARRA DO TURVO;Toalha de Banho;Itens de Casa;Não;68;Masculino;34;ONG;6,02949E+12
582663;22/02/2025;quinta-feira;20:00:00;SP;SAO JOSE DOS CAMPOS;Cobertos;Itens de Casa;Não;43;Masculino;14;ONG;3,39156E+13
582663;22/02/2025;quinta-feira;20:00:00;SP;SAO JOSE DOS CAMPOS;Cobertos;Itens de Casa;Não;68;Masculino;31;ONG;3,39156E+13
582663;22/02/2025;quinta-feira;20:00:00;SP;SAO JOSE DOS CAMPOS;Cobertos;Itens de Casa;Não;71;Masculino;13;ONG;3,39156E+13
582663;22/02/2025;quinta-feira;20:00:00;SP;SAO JOSE DOS CAMPOS;Cobertos;Itens de Casa;Não;20;Masculino;37;ONG;3,39156E+13
582663;22/02/2025;quinta-feira;20:00:00;SP;SAO JOSE DOS CAMPOS;Cobertos;Itens de Casa;Não;58;Masculino;30;ONG;3,39156E+13
582665;22/02/2025;quinta-feira;19:55:00;SP;REGISTRO;Camisa Manga Longa;Roupa;Não;49;Masculino;43;ONG;3,48884E+12
582665;22/02/2025;quinta-feira;19:55:00;SP;REGISTRO;Camisa Manga Longa;Roupa;Não;21;Masculino;10;ONG;3,48884E+12
582700;23/02/2025;sexta-feira;03:55:00;SP;JACUPIRANGA;Sabonete;Higiene;Sim;58;Masculino;16;ONG;7,15531E+13
582744;23/02/2025;sexta-feira;08:00:00;SP;JACAREI;Não Pereciveis;Alimentação;Sim;47;Masculino;42;ONG;7,41645E+12
582758;23/02/2025;sexta-feira;11:20:00;SP;GUARULHOS;Não Pereciveis;Alimentação;Sim;20;Masculino;35;ONG;1,20784E+13
582785;23/02/2025;sexta-feira;14:00:00;SP;GUARULHOS;Não Pereciveis;Alimentação;Sim;35;Masculino;38;ONG;1,20784E+13
582806;23/02/2025;sexta-feira;15:10:00;SP;NOVA GRANADA;Lençois;Itens de Casa;Sim;74;Masculino;50;ONG;1,10882E+13
582806;23/02/2025;sexta-feira;15:10:00;SP;NOVA GRANADA;Lençois;Itens de Casa;Sim;38;Masculino;30;ONG;1,10882E+13
